,Season,EpisodeNo,Title,AirDate,Writers,Director,SEID
131,8,1,The Foundation,19-Sep-96,Alec Berg & Jeff Schaffer,Andy Ackerman,S08E01
132,8,2,The Soul Mate,26-Sep-96,Peter Mehlman,Andy Ackerman,S08E02
133,8,3,The Bizarro Jerry,3-Oct-96,David Mandel,Andy Ackerman,S08E03
134,8,4,The Little Kicks,10-Oct-96,Spike Feresten,Andy Ackerman,S08E04
135,8,5,The Package,17-Oct-96,Jennifer Crittenden,Andy Ackerman,S08E05
136,8,6,The Fatigues,31-Oct-96,Gregg Kavet & Andy Robin,Andy Ackerman,S08E06
137,8,7,The Checks,7-Nov-96,Steve O'Donnell  & Tom Gammill & Max Pross,Andy Ackerman,S08E07
138,8,8,The Chicken Roaster,14-Nov-96,Alec Berg & Jeff Schaffer,Andy Ackerman,S08E08
139,8,9,The Abstinence,21-Nov-96,Steve Koren,Andy Ackerman,S08E09
140,8,10,The Andrea Doria,19-Dec-96,Spike Feresten,Andy Ackerman,S08E10
141,8,11,The Little Jerry,9-Jan-97,Jennifer Crittenden,Andy Ackerman,S08E11
142,8,12,The Money,16-Jan-97,Peter Mehlman,Andy Ackerman,S08E12
143,8,13,The Comeback,30-Jan-97,Gregg Kavet & Andy Robin,David Owen Trainor,S08E13
144,8,14,The Van Buren Boys,6-Feb-97,Darin Henry,Andy Ackerman,S08E14
145,8,15,The Susie,13-Feb-97,David Mandel,Andy Ackerman,S08E15
146,8,16,The Pothole,20-Feb-97,Steve O'Donnell  & Dan O'Keefe,Andy Ackerman,S08E16
147,8,17,The English Patient,13-Mar-97,Steve Koren,Andy Ackerman,S08E17
148,8,18,The Nap,10-Apr-97,Gregg Kavet & Andy Robin,Andy Ackerman,S08E18
149,8,19,The Yada Yada,24-Apr-97,Peter Mehlman  & Jill Franklyn,Andy Ackerman,S08E19
150,8,20,The Millennium,1-May-97,Jennifer Crittenden,Andy Ackerman,S08E20
151,8,21,The Muffin Tops,8-May-97,Spike Feresten,Andy Ackerman,S08E21
152,8,22,The Summer of George,15-May-97,Alec Berg & Jeff Schaffer,Andy Ackerman,S08E22
153,9,1,The Butter Shave,25-Sep-97,Alec Berg & Jeff Schaffer & David Mandel,Andy Ackerman,S09E01
154,9,2,The Voice,2-Oct-97,Alec Berg & Jeff Schaffer & David Mandel,Andy Ackerman,S09E02
155,9,3,The Serenity Now,9-Oct-97,Steve Koren,Andy Ackerman,S09E03
156,9,4,The Blood,16-Oct-97,Dan O'Keefe,Andy Ackerman,S09E04
157,9,5,The Junk Mail,30-Oct-97,Spike Feresten,Andy Ackerman,S09E05
158,9,6,The Merv Griffin Show,6-Nov-97,Bruce Eric Kaplan,Andy Ackerman,S09E06
159,9,7,The Slicer,13-Nov-97,Gregg Kavet & Andy Robin,Andy Ackerman,S09E07
160,9,8,The Betrayal,20-Nov-97,David Mandel & Peter Mehlman,Andy Ackerman,S09E08
161,9,9,The Apology,11-Dec-97,Jennifer Crittenden,Andy Ackerman,S09E09
162,9,10,The Strike,18-Dec-97,Dan O'Keefe & Alec Berg & Jeff Schaffer,Andy Ackerman,S09E10
163,9,11,The Dealership,8-Jan-98,Steve Koren,Andy Ackerman,S09E11
164,9,12,The Reverse Peephole (a.k.a. The Man Fur),15-Jan-98,Spike Feresten,Andy Ackerman,S09E12
165,9,13,The Cartoon,29-Jan-98,Bruce Eric Kaplan,Andy Ackerman,S09E13
166,9,14,The Strongbox,5-Feb-98,Dan O'Keefe,Andy Ackerman,S09E14
167,9,15,The Wizard,26-Feb-98,Steve Lookner,Andy Ackerman,S09E15
168,9,16,The Burning,19-Mar-98,Jennifer Crittenden,Andy Ackerman,S09E16
169,9,17,The Bookstore,9-Apr-98,Spike Feresten,Andy Ackerman,S09E17
170,9,18,The Frogger,23-Apr-98,Gregg Kavet & Andy Robin,Andy Ackerman,S09E18
171,9,19,The Maid,30-Apr-98,Alec Berg & David Mandel & Jeff Schaffer,Andy Ackerman,S09E19
172,9,20,The Puerto Rican Day,7-May-98,Alec Berg & Jennifer Crittenden & Spike Feresten & Bruce Eric Kaplan & Gregg Kavet & Steve Koren & David Mandel & Dan O'Keefe & Andy Robin  & Jeff Schaffer,Andy Ackerman,S09E20
173,9,23,The Finale,14-May-98,Larry David,Andy Ackerman,S09E23
